,incident_borough,zipcode,policeprecinct,citycouncildistrict,communitydistrict,communityschooldistrict,congressionaldistrict,alarm_box_number
0,MANHATTAN,10003.0,9.0,2.0,103.0,1.0,12.0,446
1,BROOKLYN,11230.0,70.0,48.0,314.0,21.0,9.0,3325
2,QUEENS,11691.0,101.0,31.0,414.0,27.0,5.0,1128
3,MANHATTAN,10031.0,30.0,7.0,109.0,6.0,13.0,1659
4,MANHATTAN,10026.0,28.0,9.0,110.0,3.0,13.0,1349
5,QUEENS,11692.0,100.0,31.0,414.0,27.0,5.0,1261
6,QUEENS,11373.0,110.0,25.0,404.0,24.0,6.0,7941
7,BRONX,10452.0,44.0,16.0,204.0,9.0,15.0,2529
8,RICHMOND / STATEN ISLAND,10304.0,120.0,49.0,501.0,31.0,11.0,241
9,BROOKLYN,11207.0,75.0,37.0,305.0,19.0,7.0,1735
10,BRONX,10473.0,43.0,18.0,209.0,8.0,15.0,2659
11,MANHATTAN,10002.0,7.0,2.0,103.0,1.0,7.0,273
12,BRONX,10468.0,46.0,14.0,205.0,10.0,15.0,3194
13,BRONX,10451.0,40.0,17.0,201.0,7.0,15.0,2309
14,QUEENS,11356.0,109.0,19.0,407.0,25.0,14.0,4302
15,BROOKLYN,11206.0,90.0,34.0,301.0,14.0,7.0,250
16,QUEENS,11367.0,107.0,24.0,408.0,25.0,6.0,4964
17,MANHATTAN,10009.0,9.0,2.0,103.0,1.0,12.0,469
18,MANHATTAN,10038.0,5.0,1.0,103.0,2.0,7.0,122
19,BROOKLYN,11212.0,67.0,42.0,317.0,18.0,9.0,2085
20,RICHMOND / STATEN ISLAND,10303.0,121.0,49.0,501.0,31.0,11.0,931
21,MANHATTAN,10035.0,25.0,8.0,111.0,5.0,13.0,1461
22,BRONX,,,,,,,2262
23,BROOKLYN,11236.0,69.0,46.0,318.0,18.0,8.0,2394
24,QUEENS,11433.0,103.0,28.0,412.0,28.0,5.0,8835
25,MANHATTAN,10002.0,7.0,1.0,103.0,2.0,12.0,263
26,BRONX,10473.0,43.0,18.0,209.0,8.0,15.0,2821
27,BROOKLYN,11223.0,60.0,47.0,313.0,21.0,11.0,3429
28,MANHATTAN,10032.0,33.0,7.0,112.0,6.0,13.0,1673
29,BRONX,10459.0,42.0,17.0,203.0,12.0,15.0,2557
30,BROOKLYN,11220.0,68.0,43.0,310.0,20.0,11.0,1107
31,BRONX,10457.0,48.0,15.0,206.0,9.0,15.0,2954
32,MANHATTAN,10002.0,7.0,2.0,103.0,1.0,7.0,413
34,BRONX,10467.0,47.0,12.0,212.0,11.0,16.0,3613
35,MANHATTAN,10029.0,23.0,9.0,111.0,4.0,13.0,1321
36,BROOKLYN,11223.0,62.0,44.0,311.0,21.0,10.0,2963
37,QUEENS,11103.0,114.0,22.0,401.0,30.0,14.0,7478
38,BROOKLYN,11233.0,73.0,37.0,316.0,23.0,8.0,3933
39,BROOKLYN,11207.0,75.0,42.0,305.0,19.0,8.0,1933
40,BROOKLYN,,,,,,,3796
41,BROOKLYN,11226.0,67.0,40.0,317.0,17.0,9.0,1571
42,BRONX,10453.0,46.0,14.0,205.0,10.0,15.0,3183
43,BRONX,10458.0,46.0,15.0,205.0,10.0,15.0,4799
44,BROOKLYN,11203.0,67.0,45.0,317.0,18.0,9.0,2320
45,BROOKLYN,11207.0,75.0,37.0,305.0,19.0,8.0,1764
46,BROOKLYN,11226.0,70.0,40.0,314.0,17.0,9.0,1498
47,MANHATTAN,10036.0,10.0,3.0,104.0,2.0,10.0,784
48,BRONX,10456.0,42.0,17.0,203.0,9.0,15.0,2502
49,BRONX,10460.0,48.0,15.0,206.0,12.0,15.0,7426
50,BRONX,10456.0,42.0,16.0,203.0,9.0,15.0,2748
51,MANHATTAN,10027.0,28.0,9.0,110.0,5.0,13.0,1486
52,BROOKLYN,11212.0,73.0,41.0,316.0,23.0,9.0,1669
53,BROOKLYN,11219.0,66.0,38.0,312.0,15.0,10.0,2684
54,QUEENS,,,,,,,9532
55,MANHATTAN,10001.0,13.0,3.0,104.0,2.0,12.0,632
56,BRONX,10467.0,52.0,11.0,207.0,10.0,13.0,3587
57,BRONX,10453.0,46.0,16.0,205.0,9.0,13.0,4723
58,MANHATTAN,10009.0,9.0,2.0,103.0,1.0,7.0,290
59,MANHATTAN,10128.0,19.0,5.0,108.0,2.0,12.0,1206
60,MANHATTAN,10032.0,33.0,7.0,112.0,6.0,13.0,1683
61,MANHATTAN,10029.0,23.0,8.0,111.0,4.0,13.0,1344
62,BROOKLYN,,,,,,,671
63,QUEENS,11434.0,113.0,28.0,412.0,28.0,5.0,2690
64,RICHMOND / STATEN ISLAND,10305.0,122.0,50.0,502.0,31.0,11.0,677
65,BRONX,10469.0,47.0,12.0,212.0,11.0,16.0,3621
66,BRONX,10456.0,44.0,16.0,204.0,9.0,15.0,2524
67,MANHATTAN,10025.0,24.0,6.0,107.0,3.0,10.0,1225
68,BRONX,10454.0,40.0,8.0,201.0,7.0,15.0,2170
69,BROOKLYN,11204.0,62.0,44.0,311.0,20.0,10.0,2957
70,BRONX,10456.0,44.0,16.0,204.0,9.0,15.0,2564
71,BROOKLYN,11208.0,75.0,42.0,305.0,19.0,8.0,1840
72,QUEENS,11427.0,105.0,23.0,413.0,29.0,5.0,5557
73,MANHATTAN,10001.0,14.0,3.0,105.0,2.0,12.0,689
74,BRONX,10473.0,43.0,18.0,209.0,8.0,15.0,2686
75,BROOKLYN,,,,,,,1721
76,BROOKLYN,11203.0,67.0,41.0,317.0,18.0,9.0,1021
77,BROOKLYN,11221.0,81.0,36.0,303.0,16.0,8.0,901
